Search Result (order here dnm),#1,#2,#3,#4,#5,#6,#7,#8,#9,,,,,,,,17,18,19,20,21
https://www.uscis.gov,1,1,1,1,1,1,1,1,1,,"12 different domains(/news), ordered in 4 different ways, with 9-10 results on average",,,,,,,,,,
(news)Supreme Court...,2,3,2,3,2,3,2,2,2,,,,,,,,,,,,
"(news)In court filing, ICE...",3,2,3,2,3,2,3,3,3,,,,,,,,,,,,
(news)Curley: In Biden’s bizzaro...,4,0,4,0,4,0,4,4,4,,,,,,,,,,,,
https://www.ice.gov,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,
https://www.usa.gov,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,
https://en.wikipedia.org,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,
https://www.dhs.gov,8,8,8,8,8,9,8,8,8,,,,,,,,,,,,
https://travel.state.gov,9,9,9,9,9,8,9,9,9,,,,,,,,,,,,
(news)Susan Rice burns sage..,0,4,0,4,0,4,0,0,0,,,,,,,,,,,,
travel.state.gov/immigrate/step-1-submit-a-petition ,0,10,10,10,10,0,0,10,10,,,,,,,,,,,,
https://www.aila.org,,,,,,10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Signed out,,,,,,,,,,,,,,,,,,,,,
Search Result (order here dnm),#1,#2,#3,#4,#5,#6,#7,#8,#9,,,,,,,,,,,,
https://www.uscis.gov,1,1,1,1,1,1,1,1,1,,"15 different domains, ordered in 4 different ways, with 9-10 search results on average",,,,,,,,,,
(news)Supreme Court... (npr),2,3,2,3,0,3,2,2,2,,,,,,,,,,,,
"(news)In court filing, ICE... (nbc)",3,2,3,2,0,2,3,3,3,,,,,,,,,,,,
(news)Curley: In Biden’s bizzaro... (boston herald),4,0,4,0,0,0,4,4,4,,,,,,,,,,,,
https://www.ice.gov,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,
https://www.usa.gov,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,
https://en.wikipedia.org,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,
https://www.dhs.gov,8,8,8,8,8,9,8,8,8,,,,,,,,,,,,
https://travel.state.gov,9,9,9,9,0,8,9,9,9,,,,,,,,,,,,
(news)Susan Rice burns sage.. (the independent),0,4,0,4,0,4,0,0,0,,,,,,,,,,,,
travel.state.gov/immigrate/step-1-submit-a-petition ,0,10,10,10,0,0,0,10,10,,,,,,,,,,,,
https://www.aila.org,0,0,0,0,9,10,0,0,0,,,,,,,,,,,,
"(news)Trump and Biden spar 
over immigration and 
‘spiraling tsunami’ at the 
border... (boston herald)",0,0,0,0,2,0,0,0,0,,,,,,,,,,,,
"(news)What the Horrific Crash 
on the Border Says... (propublica)",0,0,0,0,3,0,0,0,0,,,,,,,,,,,,
"(news)Sen. Cardin: 'We really do 
need comprehensive 
immigration reform ... (fox news)",0,0,0,0,4,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Signed in,,,,,,,,,,,,,,,,,,,,,
Search Result (order here dnm),#1,#2,#3,#4,#5,#6,#7,#8,#9,,,,,,,,,,,,
https://www.uscis.gov,1,1,1,1,1,1,1,1,1,,"17 different domains, ordered in 7 different ways, with an average of 9-10 search results on the first page.",,,,,,,,,,
(news)Supreme Court... (npr),2,0,2,3,0,3,2,2,0,,,,,,,,,,,,
"(news)In court filing, ICE... (nbc)",3,0,3,2,0,2,3,3,0,,,,,,,,,,,,
(news)Curley: In Biden’s bizzaro... (boston herald),4,0,4,0,0,0,4,4,0,,,,,,,,,,,,
https://www.ice.gov,5,3,5,5,5,5,5,5,5,,,,,,,,,,,,
https://www.usa.gov,6,2,6,6,6,6,6,6,6,,,,,,,,,,,,
https://en.wikipedia.org,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,
https://www.dhs.gov,8,5,8,8,8,9,8,8,8,,,,,,,,,,,,
https://travel.state.gov,9,4,9,9,0,8,9,9,0,,,,,,,,,,,,
(news)Susan Rice burns sage.. (the independent),0,0,0,4,0,4,0,0,0,,,,,,,,,,,,
